seed,env_init,schedule,mechanism,sigma,observer,converged,attractor,time_to_sync,sym_var_final,misID_snap,misID_snap_half,misID_snap_post,misID_act,misID_act_post,q_onehot_ok,final_S_A,final_S_B,final_S_C
1,8_8_8,sync,infer,1.00,memoryless,1,S=8,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,8,8,8
2,5_2_6,seq_ABC,hard,,none,1,S=0,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,0
2,5_2_6,seq_ABC,infer,0.40,filter,1,S=0,27,0.000000,0.526667,0.360000,0.362319,0.533333,0.420290,1,0,0,0
2,5_2_6,seq_ABC,infer,1.00,filter,1,S=0,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,0
2,5_2_6,seq_ABC,infer,1.00,memoryless,1,S=0,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,0
2,5_2_6,seq_ACB,hard,,none,1,S=0,17,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,0
2,5_2_6,seq_ACB,infer,0.40,filter,1,S=0,30,0.000000,0.446667,0.293333,0.266667,0.440000,0.266667,1,0,0,0
2,5_2_6,seq_ACB,infer,1.00,filter,1,S=0,17,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,0
2,5_2_6,seq_ACB,infer,1.00,memoryless,1,S=0,17,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,0
2,5_2_6,seq_BAC,hard,,none,1,S=0,7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,0
2,5_2_6,seq_BAC,infer,0.40,filter,1,S=0,17,0.000000,0.553333,0.346667,0.454545,0.573333,0.454545,1,0,0,0
2,5_2_6,seq_BAC,infer,1.00,filter,1,S=0,7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,0
2,5_2_6,seq_BAC,infer,1.00,memoryless,1,S=0,7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,0
2,5_2_6,seq_BCA,hard,,none,1,S=0,6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,0
2,5_2_6,seq_BCA,infer,0.40,filter,1,S=0,42,0.000000,0.646667,0.573333,0.541667,0.626667,0.541667,1,0,0,0
2,5_2_6,seq_BCA,infer,1.00,filter,1,S=0,6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,0
2,5_2_6,seq_BCA,infer,1.00,memoryless,1,S=0,6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,0
2,5_2_6,seq_CAB,hard,,none,1,S=0,18,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,0
2,5_2_6,seq_CAB,infer,0.40,filter,1,S=0,41,0.000000,0.193333,0.053333,0.037037,0.206667,0.000000,1,0,0,0
2,5_2_6,seq_CAB,infer,1.00,filter,1,S=0,18,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,0
2,5_2_6,seq_CAB,infer,1.00,memoryless,1,S=0,18,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,0
2,5_2_6,seq_CBA,hard,,none,1,S=0,11,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,0
2,5_2_6,seq_CBA,infer,0.40,filter,1,S=0,15,0.000000,0.193333,0.026667,0.047619,0.173333,0.009524,1,0,0,0
2,5_2_6,seq_CBA,infer,1.00,filter,1,S=0,11,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,0
2,5_2_6,seq_CBA,infer,1.00,memoryless,1,S=0,11,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,0
2,5_2_6,sync,hard,,none,0,no_conv,,0.222222,0.000000,0.000000,,0.000000,,1,1,0,0
2,5_2_6,sync,infer,0.40,filter,0,no_conv,,0.666667,0.706667,0.746667,,0.706667,,1,2,0,2
2,5_2_6,sync,infer,1.00,filter,0,no_conv,,0.222222,0.000000,0.000000,,0.000000,,1,1,0,0
2,5_2_6,sync,infer,1.00,memoryless,0,no_conv,,0.222222,0.000000,0.000000,,0.000000,,1,1,0,0
2,8_8_8,seq_ABC,hard,,none,1,S=8,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,8,8,8
2,8_8_8,seq_ABC,infer,0.40,filter,1,S=8,28,0.000000,0.120000,0.013333,0.000000,0.073333,0.000000,1,8,8,8
2,8_8_8,seq_ABC,infer,1.00,filter,1,S=8,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,8,8,8
2,8_8_8,seq_ABC,infer,1.00,memoryless,1,S=8,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,8,8,8
2,8_8_8,seq_ACB,hard,,none,1,S=8,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,8,8,8
2,8_8_8,seq_ACB,infer,0.40,filter,1,S=8,16,0.000000,0.326667,0.333333,0.333333,0.353333,0.333333,1,8,8,8
2,8_8_8,seq_ACB,infer,1.00,filter,1,S=8,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,8,8,8
2,8_8_8,seq_ACB,infer,1.00,memoryless,1,S=8,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,8,8,8
2,8_8_8,seq_BAC,hard,,none,1,S=8,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,8,8,8
2,8_8_8,seq_BAC,infer,0.40,filter,1,S=8,28,0.000000,0.133333,0.013333,0.000000,0.126667,0.000000,1,8,8,8
2,8_8_8,seq_BAC,infer,1.00,filter,1,S=8,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,8,8,8
2,8_8_8,seq_BAC,infer,1.00,memoryless,1,S=8,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,8,8,8
2,8_8_8,seq_BCA,hard,,none,1,S=8,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,8,8,8
2,8_8_8,seq_BCA,infer,0.40,filter,1,S=8,41,0.000000,0.506667,0.413333,0.333333,0.533333,0.333333,1,8,8,8
2,8_8_8,seq_BCA,infer,1.00,filter,1,S=8,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,8,8,8
2,8_8_8,seq_BCA,infer,1.00,memoryless,1,S=8,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,8,8,8
2,8_8_8,seq_CAB,hard,,none,1,S=8,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,8,8,8
2,8_8_8,seq_CAB,infer,0.40,filter,1,S=8,42,0.000000,0.233333,0.040000,0.000000,0.220000,0.000000,1,8,8,8
2,8_8_8,seq_CAB,infer,1.00,filter,1,S=8,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,8,8,8
2,8_8_8,seq_CAB,infer,1.00,memoryless,1,S=8,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,8,8,8
2,8_8_8,seq_CBA,hard,,none,1,S=8,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,8,8,8
2,8_8_8,seq_CBA,infer,0.40,filter,1,S=8,28,0.000000,0.093333,0.013333,0.000000,0.106667,0.000000,1,8,8,8
2,8_8_8,seq_CBA,infer,1.00,filter,1,S=8,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,8,8,8
2,8_8_8,seq_CBA,infer,1.00,memoryless,1,S=8,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,8,8,8
