seed,env_mode,env_init,mechanism,sigma,sym_var_init,sym_var_final,sym_var_second_half_mean,collective_var_final,pairwise_dist_final,real_var_final,imag_var_final,converged,attractor,time_to_sync,misID_rate,misID_second_half,misID_post_sync,misID_run_mean,belief_lag,kl_belief,H_belief,final_R_A,final_S_A,final_I_A,final_R_B,final_S_B,final_I_B,final_R_C,final_S_C,final_I_C
7,isolated,5_2_6,noisy,,0.000000,0.000000,0.044444,1.777778,3.661790,4.666667,0.666667,1,S=0,45,0.000000,0.000000,0.000000,0.000000,0.000000,5.302541,0.837686,8,0,7,3,0,8,7,0,6
7,isolated,5_2_6,infer,0.40,0.222222,0.000000,0.035556,2.518519,4.639384,4.666667,2.888889,1,S=0,42,0.720000,0.680000,0.416667,9.228956,7.441667,22.680587,0.890229,8,0,7,3,0,8,7,0,4
7,isolated,5_2_6,infer,0.70,0.888889,0.000000,0.000000,2.444444,4.426029,4.666667,2.666667,1,S=0,12,0.173333,0.000000,0.043860,2.133333,9.370370,6.512984,0.254844,8,0,6,3,0,8,7,0,4
7,isolated,5_2_6,infer,1.00,0.888889,0.000000,0.000000,2.444444,4.426029,4.666667,2.666667,1,other_conv,9,0.020000,0.000000,0.008130,1.000000,0.226190,1.463031,0.072025,8,3,6,3,3,8,7,3,4
7,isolated,8_8_8,off,,0.000000,4.666667,5.360000,4.000000,5.891869,4.666667,2.666667,0,no_conv,,0.866667,0.826667,,26.900000,32.089947,29.933606,0.000000,8,1,6,3,6,8,7,5,4
7,isolated,8_8_8,hard,,0.222222,0.000000,0.000000,2.444444,4.426029,4.666667,2.666667,1,S=8,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4
7,isolated,8_8_8,noisy,,0.222222,0.000000,0.026667,1.851852,3.619100,4.666667,0.888889,1,S=8,34,0.000000,0.000000,0.000000,0.000000,0.000000,5.302541,0.837686,8,8,6,3,8,8,7,8,6
7,isolated,8_8_8,infer,0.40,0.222222,0.000000,0.000000,2.444444,4.426029,4.666667,2.666667,1,S=8,16,0.286667,0.106667,0.245098,5.027778,8.464286,11.914135,0.617137,8,8,6,3,8,8,7,8,4
7,isolated,8_8_8,infer,0.70,0.222222,0.000000,0.000000,2.444444,4.426029,4.666667,2.666667,1,S=8,1,0.046667,0.000000,0.040816,2.333333,0.500000,2.235717,0.134074,8,8,6,3,8,8,7,8,4
7,isolated,8_8_8,infer,1.00,0.222222,0.000000,0.000000,2.444444,4.426029,4.666667,2.666667,1,S=8,3,0.020000,0.000000,0.007092,0.666667,0.666667,0.442033,0.018484,8,8,6,3,8,8,7,8,4
8,isolated,5_2_6,off,,0.000000,4.666667,3.608889,4.000000,5.891869,4.666667,2.666667,0,no_conv,,1.000000,1.000000,,50.000000,30.100000,34.538776,0.000000,8,1,6,3,6,8,7,5,4
8,isolated,5_2_6,hard,,0.888889,0.000000,0.000000,2.444444,4.426029,4.666667,2.666667,1,S=0,11,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8,0,6,3,0,8,7,0,4
8,isolated,5_2_6,noisy,,0.222222,0.000000,0.044444,1.851852,3.619100,4.666667,0.888889,1,S=0,38,0.000000,0.000000,0.000000,0.000000,0.000000,5.302541,0.837686,8,0,6,3,0,8,7,0,6
8,isolated,5_2_6,infer,0.40,0.888889,0.000000,0.000000,2.444444,4.426029,4.666667,2.666667,1,S=0,14,0.213333,0.040000,0.111111,2.158730,14.101852,7.876089,0.395008,8,0,6,3,0,8,7,0,4
8,isolated,5_2_6,infer,0.70,0.888889,0.000000,0.000000,2.444444,4.426029,4.666667,2.666667,1,S=0,9,0.200000,0.000000,0.105691,2.788889,7.133333,7.259484,0.209467,8,0,6,3,0,8,7,0,4
8,isolated,5_2_6,infer,1.00,0.888889,0.000000,0.000000,2.444444,4.426029,4.666667,2.666667,1,S=0,18,0.033333,0.000000,0.000000,1.000000,5.764881,2.525494,0.122479,8,0,6,3,0,8,7,0,4
8,isolated,8_8_8,off,,0.000000,5.555556,6.124444,3.703704,5.608565,4.666667,0.888889,0,no_conv,,0.866667,0.853333,,25.479167,31.050109,29.933606,0.000000,8,1,6,3,6,8,7,6,8
8,isolated,8_8_8,hard,,0.222222,0.000000,0.000000,2.074074,3.933126,4.666667,1.555556,1,S=8,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,5
8,isolated,8_8_8,noisy,,0.222222,0.000000,0.017778,2.074074,3.933126,4.666667,1.555556,1,S=8,46,0.000000,0.000000,0.000000,0.000000,0.000000,5.302541,0.837686,8,8,6,3,8,8,7,8,5
8,isolated,8_8_8,infer,0.40,0.222222,0.000000,0.035556,1.851852,3.619100,4.666667,0.888889,1,S=8,33,0.620000,0.480000,0.392157,5.154762,11.523485,22.028837,0.757404,8,8,6,3,8,8,7,8,6
8,isolated,8_8_8,infer,0.70,0.222222,0.000000,0.000000,2.444444,4.426029,4.666667,2.666667,1,S=8,10,0.233333,0.000000,0.116667,6.111111,9.333333,7.886488,0.193834,8,8,6,3,8,8,7,8,4
8,isolated,8_8_8,infer,1.00,0.222222,0.000000,0.000000,2.444444,4.426029,4.666667,2.666667,1,S=8,3,0.020000,0.000000,0.007092,0.666667,0.666667,0.442033,0.018484,8,8,6,3,8,8,7,8,4
9,isolated,5_2_6,off,,0.000000,4.666667,3.697778,4.000000,5.891869,4.666667,2.666667,0,no_conv,,1.000000,1.000000,,50.000000,30.233333,34.538776,0.000000,8,1,6,3,6,8,7,5,4
9,isolated,5_2_6,hard,,0.888889,0.000000,0.000000,2.444444,4.426029,4.666667,2.666667,1,S=0,6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8,0,6,3,0,8,7,0,4
9,isolated,5_2_6,noisy,,0.888889,0.000000,0.035556,2.074074,4.111696,4.666667,1.555556,1,S=0,44,0.000000,0.000000,0.000000,0.000000,0.000000,5.302541,0.837686,8,0,7,3,0,8,7,0,5
9,isolated,5_2_6,infer,0.40,0.000000,0.000000,0.000000,2.444444,4.426029,4.666667,2.666667,1,S=0,18,0.120000,0.000000,0.000000,1.916667,10.702381,6.012129,0.391209,8,0,6,3,0,8,7,0,4
9,isolated,5_2_6,infer,0.70,0.888889,0.000000,0.000000,2.444444,4.426029,4.666667,2.666667,1,S=0,25,0.433333,0.226667,0.226667,4.200000,11.524074,15.010464,0.276948,8,0,6,3,0,8,7,0,4
9,isolated,5_2_6,infer,1.00,0.888889,0.000000,0.106667,2.444444,4.426029,4.666667,2.666667,1,S=0,44,0.093333,0.013333,0.000000,1.000000,1.005772,5.145493,0.227206,8,0,6,3,0,8,7,0,4
9,isolated,8_8_8,off,,0.000000,4.666667,5.111111,4.000000,5.891869,4.666667,2.666667,0,no_conv,,0.873333,0.920000,,27.500000,32.000000,30.163865,0.000000,8,1,6,3,6,8,7,5,4
9,isolated,8_8_8,hard,,0.222222,0.000000,0.000000,2.444444,4.426029,4.666667,2.666667,1,S=8,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4
9,isolated,8_8_8,noisy,,0.222222,0.000000,0.017778,2.222222,3.943651,4.666667,2.000000,1,S=8,40,0.000000,0.000000,0.000000,0.000000,0.000000,5.302541,0.837686,8,8,5,3,8,8,7,8,5
