seed,env_mode,env_init,mechanism,sym_var_init,sym_var_final,sym_var_second_half_mean,collective_var_init,collective_var_final,collective_var_second_half_mean,pairwise_dist_init,pairwise_dist_final,pairwise_dist_second_half_mean,real_var_final,imag_var_final,final_R_A,final_S_A,final_I_A,final_R_B,final_S_B,final_I_B,final_R_C,final_S_C,final_I_C,converged,attractor
3,isolated,5_2_6,soft,0.222222,0.222222,0.408889,0.148148,2.444444,3.164444,0.942809,4.568280,5.106427,2.888889,4.222222,8,4,6,4,4,8,7,3,3,0,no_conv
3,isolated,5_2_6,delayed,0.888889,0.222222,0.222222,0.370370,2.518519,2.518519,1.745356,4.526406,4.513925,4.666667,2.666667,8,0,6,3,0,8,7,1,4,0,no_conv
3,isolated,5_2_6,noisy,0.888889,0.222222,0.044444,0.370370,2.888889,2.900741,1.745356,4.655376,4.834731,6.888889,1.555556,8,1,6,2,0,8,7,0,5,0,no_conv
3,isolated,8_8_8,off,0.000000,4.666667,5.528889,0.000000,4.000000,4.388148,0.000000,5.891869,6.182230,4.666667,2.666667,8,1,6,3,6,8,7,5,4,0,no_conv
3,isolated,8_8_8,hard,0.222222,0.000000,0.000000,0.074074,2.074074,2.038519,0.666667,3.933126,3.882882,4.666667,1.555556,8,8,6,3,8,8,7,8,5,1,S=8
3,isolated,8_8_8,soft,0.222222,0.000000,0.000000,0.074074,2.444444,2.444444,0.666667,4.426029,4.426029,4.666667,2.666667,8,8,6,3,8,8,7,8,4,1,S=8
3,isolated,8_8_8,delayed,0.222222,0.000000,0.000000,0.074074,2.444444,2.444444,0.666667,4.426029,4.426029,4.666667,2.666667,8,8,6,3,8,8,7,8,4,1,S=8
3,isolated,8_8_8,noisy,0.222222,0.222222,0.026667,0.074074,2.296296,2.198519,0.666667,4.110098,4.142047,4.666667,2.000000,8,7,5,3,8,8,7,8,5,0,no_conv
4,shared,5_2_6,off,0.000000,0.222222,0.266667,0.074074,0.444444,0.311111,0.666667,1.954568,1.480701,0.888889,0.222222,7,6,7,5,7,8,5,6,7,0,no_conv
4,shared,5_2_6,hard,0.666667,0.000000,0.000000,0.296296,0.074074,0.157037,1.550094,0.666667,0.891986,0.222222,0.000000,5,0,7,5,0,7,6,0,7,1,S=0
4,shared,5_2_6,soft,0.000000,0.000000,0.000000,0.074074,0.000000,0.154074,0.666667,0.000000,0.870223,0.000000,0.000000,8,8,8,8,8,8,8,8,8,1,S=8
4,shared,5_2_6,delayed,0.666667,0.000000,0.000000,0.296296,0.296296,0.127407,1.550094,1.333333,0.728875,0.888889,0.000000,8,0,7,6,0,7,6,0,7,1,S=0
