seed,env_init,schedule,observer,converged,attractor,time_to_sync,sym_var_final,misID_snap,misID_half,misID_post,nll_half,brier_half,switch_rate,acf1,acf2,acf5,mis_acf1,turning_rate,period2_score,spec_peak_freq,spec_peak_share,final_S_A,final_S_B,final_S_C
182,5_2_6,sync,memoryless,0,no_conv,,0.888889,0.680000,0.733333,,1.841792,0.781649,0.530612,0.727460,0.518613,-0.029948,0.012877,0.180556,0.173611,0.040000,0.277815,4,2,4
183,5_2_6,sync,memoryless,0,no_conv,,0.222222,0.673333,0.666667,,1.590194,0.719849,0.585034,0.581143,0.370852,-0.021549,-0.027764,0.208333,0.194444,0.046667,0.244014,0,1,0
184,5_2_6,sync,memoryless,0,no_conv,,0.888889,0.626667,0.546667,,1.651030,0.705458,0.544218,0.699227,0.618271,0.443340,-0.016481,0.208333,0.194444,0.053333,0.359825,2,0,0
185,5_2_6,sync,memoryless,0,no_conv,,2.000000,0.633333,0.573333,,1.624090,0.710312,0.653061,0.691866,0.563530,0.186006,0.108040,0.291667,0.277778,0.026667,0.296299,0,3,0
186,5_2_6,sync,memoryless,0,no_conv,,0.666667,0.600000,0.586667,,1.698463,0.701807,0.442177,0.694953,0.588611,0.547548,-0.034440,0.145833,0.138889,0.020000,0.385832,2,1,0
187,5_2_6,sync,memoryless,0,no_conv,,0.222222,0.626667,0.680000,,1.914722,0.784591,0.564626,0.608317,0.458593,0.160176,-0.035527,0.270833,0.270833,0.040000,0.336817,0,0,1
188,5_2_6,sync,memoryless,0,no_conv,,0.222222,0.593333,0.560000,,1.560909,0.690423,0.537415,0.696920,0.561375,0.090689,-0.110393,0.201389,0.187500,0.053333,0.309659,1,0,0
189,5_2_6,sync,memoryless,0,no_conv,,0.666667,0.626667,0.600000,,1.560790,0.713762,0.537415,0.602499,0.394747,0.147078,0.045436,0.194444,0.194444,0.020000,0.354679,3,2,1
190,5_2_6,sync,memoryless,0,no_conv,,0.222222,0.633333,0.586667,,1.813985,0.799095,0.748299,0.821290,0.719206,0.558588,0.000341,0.333333,0.326389,0.020000,0.551515,7,6,7
191,5_2_6,sync,memoryless,0,no_conv,,0.888889,0.666667,0.626667,,1.722671,0.737623,0.517007,0.442034,0.316566,0.162839,0.145146,0.215278,0.201389,0.060000,0.197643,0,0,2
192,5_2_6,sync,memoryless,0,no_conv,,0.222222,0.700000,0.706667,,1.832263,0.770310,0.544218,0.617346,0.426319,0.153213,-0.021084,0.194444,0.180556,0.033333,0.246129,1,0,0
193,5_2_6,sync,memoryless,0,no_conv,,0.222222,0.613333,0.600000,,1.586926,0.696608,0.489796,0.536224,0.453706,0.145830,0.003510,0.256944,0.243056,0.026667,0.265292,1,0,1
194,5_2_6,sync,memoryless,1,other_conv,49,0.000000,0.660000,0.626667,0.666667,1.645778,0.730590,0.510204,0.530299,0.376033,0.097116,0.105124,0.222222,0.222222,0.026667,0.267222,2,2,2
195,5_2_6,sync,memoryless,1,other_conv,49,0.000000,0.626667,0.640000,0.666667,1.520911,0.698648,0.421769,0.541794,0.311198,-0.141674,-0.073051,0.125000,0.118056,0.040000,0.245897,1,1,1
