seed,env_mode,c_update,step,sym_var,collective_var,pairwise_dist,obs_R_A,obs_S_A,obs_I_A,obs_R_B,obs_S_B,obs_I_B,obs_R_C,obs_S_C,obs_I_C
1,shared,C_update_off,11,0.222222,0.444444,1.954568,8,7,8,6,7,8,6,6,7
1,shared,C_update_off,12,0.222222,0.222222,1.382088,8,6,7,7,6,7,7,7,8
1,shared,C_update_off,13,0.000000,0.074074,0.666667,8,7,8,7,7,8,7,7,8
1,shared,C_update_off,14,0.222222,0.148148,0.942809,7,7,8,6,6,8,6,6,8
1,shared,C_update_off,15,0.222222,0.074074,0.666667,7,5,8,7,5,8,7,4,8
1,shared,C_update_off,16,0.666667,0.370370,1.759306,8,3,7,7,4,7,7,5,6
1,shared,C_update_off,17,0.666667,0.370370,1.727180,8,4,6,7,3,7,7,2,7
1,shared,C_update_off,18,0.666667,0.592593,2.230710,8,1,7,6,2,8,6,3,7
1,shared,C_update_off,19,0.222222,0.222222,1.382088,6,3,7,5,4,8,5,4,7
1,shared,C_update_off,20,0.222222,0.222222,1.382088,6,4,7,5,4,8,6,5,7
1,shared,C_update_off,21,0.222222,0.148148,0.942809,7,5,7,7,5,7,7,4,8
1,shared,C_update_off,22,0.222222,0.222222,1.154701,8,4,8,8,4,8,7,5,7
1,shared,C_update_off,23,0.222222,0.222222,1.382088,8,4,7,8,4,8,7,5,7
1,shared,C_update_off,24,0.000000,0.296296,1.550094,7,4,6,7,4,7,8,4,8
1,shared,C_update_off,25,0.222222,0.370370,1.794111,8,3,8,7,4,8,6,3,7
1,shared,C_update_off,26,0.222222,0.444444,1.895186,8,3,7,6,4,8,6,4,7
1,shared,C_update_off,27,0.666667,0.518519,2.097510,7,4,6,6,3,7,7,2,8
1,shared,C_update_off,28,0.666667,0.370370,1.727180,8,2,8,8,3,8,7,4,7
1,shared,C_update_off,29,0.222222,0.444444,1.954568,8,4,7,6,3,8,6,4,7
1,shared,C_update_off,30,0.222222,0.444444,1.954568,8,4,7,6,5,8,6,4,7
1,shared,C_update_off,31,0.666667,0.296296,1.550094,7,4,7,7,5,8,7,6,8
1,shared,C_update_off,32,0.222222,0.222222,1.382088,8,6,8,7,6,8,7,7,7
1,shared,C_update_off,33,0.222222,0.148148,0.942809,8,7,7,8,7,7,8,6,6
1,shared,C_update_off,34,0.666667,0.296296,1.609476,8,6,6,8,5,7,8,4,6
1,shared,C_update_off,35,0.666667,0.814815,2.569925,8,4,6,6,5,6,5,6,7
1,shared,C_update_off,36,0.222222,0.444444,1.632993,7,5,7,5,4,8,5,4,8
1,shared,C_update_off,37,0.000000,0.148148,1.138071,5,3,8,4,3,8,5,3,7
1,shared,C_update_off,38,0.666667,0.370370,1.794111,6,3,7,6,4,8,5,5,7
1,shared,C_update_off,39,0.666667,0.370370,1.727180,7,4,7,8,5,8,8,6,8
1,shared,C_update_off,40,0.222222,0.148148,1.138071,8,5,8,7,6,8,7,5,8
1,shared,C_update_off,41,0.000000,0.000000,0.000000,8,5,8,8,5,8,8,5,8
1,shared,C_update_off,42,0.222222,0.444444,1.895186,8,5,8,6,4,8,6,4,7
